DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AR,090111,1,QUANTITY_IN_100KG,2013,13.63,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AR,090111,1,QUANTITY_IN_100KG,2023,0.64,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AR,090121,1,QUANTITY_IN_100KG,2013,8.29,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AR,090121,1,QUANTITY_IN_100KG,2023,1.16,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AR,090122,1,QUANTITY_IN_100KG,2023,0.04,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AR,09019090,1,QUANTITY_IN_100KG,2013,0.56,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AR,09019090,1,QUANTITY_IN_100KG,2023,1.10,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AR,TOTAL,1,QUANTITY_IN_100KG,2013,114315505.42,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AR,TOTAL,1,QUANTITY_IN_100KG,2023,70368518.36,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AS,090111,1,QUANTITY_IN_100KG,2023,432.00,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AS,TOTAL,1,QUANTITY_IN_100KG,2013,21.89,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AS,TOTAL,1,QUANTITY_IN_100KG,2023,920.34,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,090111,1,QUANTITY_IN_100KG,2013,27816.49,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,090111,1,QUANTITY_IN_100KG,2023,8265.70,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,090112,1,QUANTITY_IN_100KG,2013,177.04,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,090112,1,QUANTITY_IN_100KG,2023,61.51,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,090121,1,QUANTITY_IN_100KG,2013,87286.50,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,090121,1,QUANTITY_IN_100KG,2023,90010.89,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,090122,1,QUANTITY_IN_100KG,2013,554.75,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,090122,1,QUANTITY_IN_100KG,2023,770.49,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,09019010,1,QUANTITY_IN_100KG,2013,247.30,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,09019010,1,QUANTITY_IN_100KG,2023,9.73,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,09019090,1,QUANTITY_IN_100KG,2013,228.32,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,09019090,1,QUANTITY_IN_100KG,2023,2158.80,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,TOTAL,1,QUANTITY_IN_100KG,2013,521499953.60,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AT,TOTAL,1,QUANTITY_IN_100KG,2023,574034827.50,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,090111,1,QUANTITY_IN_100KG,2013,86.40,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,090111,1,QUANTITY_IN_100KG,2023,10.54,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,090112,1,QUANTITY_IN_100KG,2013,0.30,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,090112,1,QUANTITY_IN_100KG,2023,0.10,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,090121,1,QUANTITY_IN_100KG,2013,878.11,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,090121,1,QUANTITY_IN_100KG,2023,21.81,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,AU,090122,1,QUANTITY_IN_100KG,2013,18.12,
